a_x,a_y,a_z,v_x,v_y,v_z,time_stamp
-0.10021746158599854,0.021062621846795082,0.9962118268013,0.020446056500077248,0.02624358981847763,-0.13390523195266724,0
-0.10043913871049881,0.021045779809355736,0.9951420426368713,0.09490328282117844,0.10983902961015701,-0.008761434815824032,0
-0.10079099982976913,0.02073170244693756,0.9945018887519836,0.02615932933986187,0.011019721627235413,-0.04562056437134743,0
-0.10071387141942978,0.02082119509577751,0.9953732490539551,-0.011154809966683388,0.03522834926843643,-0.14282703399658203,0
-0.10091319680213928,0.020911898463964462,0.9952971935272217,-0.019103379920125008,0.08369645476341248,-0.06020686775445938,0
-0.10085420310497284,0.021742481738328934,0.9952157735824585,0.03166234865784645,0.05328934267163277,-0.13321565091609955,0
-0.1000090017914772,0.021981630474328995,0.9951999187469482,0.0838053897023201,0.058090098202228546,0.05561164766550064,0
-0.1001804918050766,0.02111908234655857,0.9953094124794006,0.034447912126779556,-0.0013464586809277534,-0.05256357043981552,0
-0.1006033644080162,0.02050193026661873,0.9952461123466492,-0.011365894228219986,0.06046987324953079,-0.02218666300177574,0
-0.10114966332912445,0.020429184660315514,0.9952545762062073,0.014291760511696339,0.1347215324640274,-0.06952881067991257,0
-0.1012858971953392,0.02073647826910019,0.9956810474395752,0.04808016121387482,0.0596611425280571,-0.03142040595412254,0
-0.10090995579957962,0.021149195730686188,0.995356559753418,0.0021981503814458847,0.08014112710952759,-0.05993521213531494,0
-0.10081484913825989,0.021398356184363365,0.9951568841934204,-0.016311340034008026,0.07786533236503601,-0.03218261897563934,0
-0.10100431740283966,0.021836858242750168,0.9949725866317749,-0.010738428682088852,0.0695362389087677,-0.0915488451719284,0
-0.10132427513599396,0.022598247975111008,0.9957186579704285,0.02380423992872238,0.04124992713332176,-0.02259810082614422,0
-0.1009807288646698,0.02261354960501194,0.9954256415367126,0.14194177091121674,0.044239822775125504,-0.06970705091953278,0
-0.10097581148147583,0.02214001677930355,0.9951658844947815,0.09228884428739548,0.03467034548521042,-0.09092676639556885,0
-0.10172547399997711,0.021511754021048546,0.9950860738754272,-0.05555497482419014,0.04353274032473564,-0.039078954607248306,0
-0.10194076597690582,0.02145986258983612,0.9962781667709351,0.023056527599692345,0.08705887198448181,-0.07806955277919769,0
-0.10191504657268524,0.021396124735474586,0.9963072538375854,0.015114099718630314,0.1357385814189911,-0.06142529100179672,0
-0.1017855852842331,0.02131202071905136,0.9947923421859741,0.01517351996153593,0.08535285294055939,-0.0834810808300972,0
-0.10186074674129486,0.021187584847211838,0.9941269755363464,0.012509386986494064,0.03209371864795685,-0.04378239065408707,0
-0.10168768465518951,0.020307065919041634,0.9938508868217468,0.05105418339371681,0.017287878319621086,0.012583816424012184,0
-0.10121624171733856,0.019978221505880356,0.9942485690116882,0.05813383311033249,0.06882389634847641,-0.03892013803124428,0
-0.10079431533813477,0.020055927336215973,0.9951211810112,0.08152522146701813,0.030322685837745667,-0.07418274134397507,0
-0.10107068717479706,0.02069784700870514,0.9952261447906494,0.04021551460027695,0.1716991364955902,-0.04986078664660454,0
-0.10083004832267761,0.021152518689632416,0.9950336217880249,0.0751912072300911,0.13845036923885345,-0.07140365988016129,0
-0.10033711045980453,0.021689442917704582,0.9954385757446289,0.03743462264537811,0.10289198905229568,0.013775397092103958,0
-0.10005434602499008,0.021757829934358597,0.9958657026290894,0.15787017345428467,0.10690071433782578,0.026888703927397728,0
-0.10008372366428375,0.021967867389321327,0.99598628282547,-0.033838484436273575,0.025020349770784378,-0.07198730111122131,0
-0.1004820317029953,0.022017307579517365,0.9955376982688904,0.0344587042927742,0.02026946470141411,-0.07529933750629425,0
-0.10074152797460556,0.021875327453017235,0.9947355389595032,0.08283461630344391,0.06637786328792572,-0.028395190834999084,0
-0.10116060078144073,0.022536443546414375,0.9939965009689331,-0.014682181179523468,0.06062709540128708,-0.04399606212973595,0
-0.10119204223155975,0.022540103644132614,0.9935877919197083,0.08883434534072876,0.06965122371912003,-0.10764767229557037,0
-0.10093823820352554,0.022160567343235016,0.9939217567443848,0.08068357408046722,0.013284232467412949,0.054574210196733475,0
-0.10085106641054153,0.022055253386497498,0.9946626424789429,0.04303988069295883,0.031168151646852493,-0.02015996351838112,0
