a_x,a_y,a_z,v_x,v_y,v_z,time_stamp
177.0,44.0,1956.0,-0.09111543744802475,0.02211677096784115,0.9967113137245178,78988
178.0,41.0,1951.0,-0.09137650579214096,0.02254507690668106,0.9971051216125488,78999
175.0,41.0,1949.0,-0.090807244181633,0.022009752690792084,0.9960564374923706,79010
176.0,43.0,1953.0,-0.09042219072580338,0.02138698659837246,0.9960673451423645,79018
177.0,42.0,1955.0,-0.09032014012336731,0.02106984332203865,0.9965633749961853,79029
176.0,43.0,1953.0,-0.0900031253695488,0.021328819915652275,0.9969544410705566,79038
176.0,43.0,1948.0,-0.0899118185043335,0.022097894921898842,0.9974513053894043,79049
172.0,44.0,1944.0,-0.08989787101745605,0.022349193692207336,0.9963005781173706,79059
174.0,40.0,1950.0,-0.089309461414814,0.021821649745106697,0.9947080612182617,79068
176.0,41.0,1952.0,-0.08930104225873947,0.020626481622457504,0.9943996667861938,79079
177.0,40.0,1948.0,-0.08976861834526062,0.020601626485586166,0.995089054107666,79088
174.0,40.0,1947.0,-0.08980724960565567,0.020716330036520958,0.9954171776771545,79099
177.0,42.0,1949.0,-0.08929866552352905,0.02066052518785,0.9951960444450378,79109
172.0,43.0,1953.0,-0.08977862447500229,0.02081872522830963,0.9956019520759583,79119
177.0,40.0,1941.0,-0.08955329656600952,0.021137798205018044,0.9959104061126709,79128
176.0,43.0,1947.0,-0.08957286179065704,0.020722899585962296,0.9949168562889099,79139
173.0,41.0,1954.0,-0.08976887166500092,0.02082732319831848,0.9954714775085449,79149
177.0,43.0,1947.0,-0.08938778191804886,0.02112625166773796,0.996893048286438,79158
178.0,43.0,1947.0,-0.0893692672252655,0.021806983277201653,0.9964826107025146,79169
179.0,40.0,1948.0,-0.08977502584457397,0.021752186119556427,0.9954837560653687,79179
177.0,43.0,1945.0,-0.09048481285572052,0.021535566076636314,0.9952203631401062,79189
175.0,42.0,1949.0,-0.09036469459533691,0.021548140794038773,0.9953081011772156,79198
178.0,47.0,1959.0,-0.08986028283834457,0.02176806889474392,0.995939314365387,79209
176.0,41.0,1957.0,-0.08980660140514374,0.022461604326963425,0.997196614742279,79218
176.0,44.0,1954.0,-0.08943677693605423,0.022221913561224937,0.9988537430763245,79229
171.0,41.0,1953.0,-0.08912905305624008,0.021864868700504303,0.9988359808921814,79239
173.0,38.0,1952.0,-0.08859707415103912,0.021259626373648643,0.9983616471290588,79248
177.0,41.0,1957.0,-0.08854476362466812,0.02072601020336151,0.9981632232666016,79259
178.0,40.0,1953.0,-0.08933792263269424,0.02078969031572342,0.9980177879333496,79268
